断面名称,长CHBX-1, , .1,测量水位,1.66
29, , , ,2.59,57.14
30, , , ,2.2,59.13
31, , , ,2.31,61.55
32, , , ,2.3,77.27
33, , , ,2.22,79.64
断面名称,长CHBX-21, , ,测量水位,1.57
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.95,0
2, , , ,2.86,3.92
3, , , ,3.13,7.03
4, , , ,3.55,8.74
5, , , ,4.09,10.56
6, , , ,3.88,11.36
7, , , ,3.28,12.76
8, , , ,1.96,13.83
9, , , ,0.96,15.99
10, , , ,0.87,19
11, , , ,0.87,20.52
12, , , ,0.45,22.15
13, , , ,0.01,24.19
14, , , ,-0.24,26.88
15, , , ,-0.2,29.97
16, , , ,0,33.16
17, , , ,0.19,36.35
18, , , ,0.47,39.27
19, , , ,0.83,41.8
20, , , ,0.73,44.43
21, , , ,0.72,45.2
22, , , ,0.78,45.79
23, , , ,0.72,48.15
24, , , ,1,49.78
25, , , ,1.35,52.11
26, , , ,1.65,52.27
27, , , ,2.47,53.63
28, , , ,2.92,54.11
29, , , ,3.68,55.14
30, , , ,3.93,56.61
31, , , ,4.06,57.94
32, , , ,3.8,59.41
33, , , ,3.89,62.47
34, , , ,3.81,65.49
35, , , ,2.98,66.11
断面名称,长CHBX-22, , ,测量水位,1.56
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.42,0
2, , , ,2.59,4.64
3, , , ,3.3,11.45
4, , , ,3.33,13.79
5, , , ,3.16,15.35
6, , , ,3.26,16.04
7, , , ,0.89,16.37
8, , , ,0.85,17.41
9, , , ,0.76,21.18
10, , , ,0.75,23.47
11, , , ,0.57,25.36
12, , , ,-0.26,27.67
13, , , ,-0.45,30.19
14, , , ,-0.52,32.84
15, , , ,-0.23,35.52
16, , , ,0.05,38.2
17, , , ,0.14,40.36
18, , , ,0.23,43.97
19, , , ,0.32,47.58
20, , , ,0.42,49.67
21, , , ,1.23,52.14
22, , , ,4.39,53.9
23, , , ,4.44,55.08
24, , , ,3.12,57.79
25, , , ,3.2,60.39
26, , , ,2.77,63.77
27, , , ,2.56,66.69
28, , , ,1.93,67.38
断面名称,长CHBX-23, , ,测量水位,1.54
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.57,0
2, , , ,4,2.03
3, , , ,3.9,3.75
4, , , ,2.55,6.43
5, , , ,2.58,7
6, , , ,1.21,7.43
7, , , ,0.98,9.3
8, , , ,0.92,11.07
9, , , ,0.75,13.51
10, , , ,0.35,16.35
11, , , ,0.11,19.38
12, , , ,-0.45,21.9
13, , , ,-0.2,25.25
14, , , ,0.05,28.43
15, , , ,0.36,31.29
16, , , ,0.85,34.14
17, , , ,0.61,35.35
18, , , ,0.58,37.45
19, , , ,0.89,38.67
20, , , ,1.34,40.32
21, , , ,2.89,41.06
22, , , ,2.93,41.59
23, , , ,3.47,42.64
24, , , ,4.28,43.7
25, , , ,4.01,44.68
26, , , ,3.91,46.02
27, , , ,2.94,49.44
28, , , ,2.53,51.09
29, , , ,2.25,52.4
30, , , ,1.75,54.02
31, , , ,1.39,54.21
断面名称,长CHBX-24, , ,测量水位,1.55
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1,0
2, , , ,1.2,6.21
3, , , ,2.4,10.27
4, , , ,2.1,14.78
5, , , ,1.2,16.57
6, , , ,0.74,17.95
7, , , ,0.58,19.43
8, , , ,0.45,21.85
9, , , ,0.3,24.2
10, , , ,0.11,26.91
11, , , ,-0.13,29.7
12, , , ,-0.22,32.44
13, , , ,-0.27,35.15
14, , , ,-0.19,37.83
15, , , ,-0.08,40.46
16, , , ,0.38,42.97
17, , , ,0.52,45.38
18, , , ,0.37,47.68
19, , , ,0.33,49.84
20, , , ,0.69,52.5
21, , , ,0.92,53.54
22, , , ,0.71,53.82
23, , , ,0.92,56.9
24, , , ,0.93,59.65
25, , , ,1.2,61.41
26, , , ,2.65,62.92
27, , , ,2.92,63.2
28, , , ,3.66,64.05
29, , , ,4.07,65.64
30, , , ,4.04,66.13
31, , , ,2.66,69.5
32, , , ,2.01,72.8
33, , , ,1.71,85.62
断面名称,长CHBX-25, , ,测量水位,1.55
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.75,0
2, , , ,3.57,5.29
3, , , ,3.6,8.24
4, , , ,3.2,9.36
5, , , ,1.73,13.65
6, , , ,1.8,14.29
7, , , ,0.18,17.79
8, , , ,-0.02,21.31
9, , , ,-0.1,23.81
10, , , ,-0.18,27.12
11, , , ,-0.42,29.62
12, , , ,-0.75,31.57
13, , , ,-0.66,33.6
14, , , ,-0.72,35.61
15, , , ,-0.78,37.6
16, , , ,-0.31,39.53
17, , , ,-0.44,39.66
18, , , ,-0.23,41.63
19, , , ,0.19,43.6
20, , , ,0.1,45.59
21, , , ,0.79,47.46
22, , , ,1.19,50.31
23, , , ,1.63,52.78
24, , , ,2.2,54.71
25, , , ,3.64,59.99
26, , , ,3.82,62.98
27, , , ,3.74,67.35
断面名称,长CHBX-26, , ,测量水位,1.57
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.4,0
2, , , ,4.66,1.59
3, , , ,4.77,4.58
4, , , ,4.76,6.39
5, , , ,4.27,8.89
6, , , ,3.26,10.72
7, , , ,4.08,11.85
8, , , ,1.2,13.45
9, , , ,0.56,15.34
10, , , ,0.19,17.58
11, , , ,-0.53,20.28
12, , , ,-0.76,22.52
13, , , ,-0.81,24.66
14, , , ,-0.56,26.67
15, , , ,-0.15,29.49
16, , , ,0.23,32.01
17, , , ,-0.1,34.63
18, , , ,0.35,36.29
19, , , ,0.33,38.5
20, , , ,0.99,41.01
21, , , ,1.38,41.55
22, , , ,2.17,42.46
23, , , ,3.11,43.14
24, , , ,3.77,44.79
25, , , ,3.87,46.41
26, , , ,3.78,48.83
27, , , ,1.83,52.43
28, , , ,1.6,57.26
29, , , ,1.77,59.74
断面名称,长CHBX-27, , ,测量水位,1.54
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.03,0
2, , , ,3.42,1.07
3, , , ,4.49,2.86
4, , , ,4.39,6.03
5, , , ,3.28,8.19
6, , , ,1.85,9.51
7, , , ,1.59,10.78
8, , , ,1.02,13.63
9, , , ,0.46,16.48
10, , , ,0.26,17.64
11, , , ,-0.32,19.85
12, , , ,-0.62,22.02
13, , , ,-0.72,24.69
14, , , ,-0.47,27.42
15, , , ,-0.36,28.03
16, , , ,0,29.4
17, , , ,0.13,29.49
18, , , ,0.36,30.46
19, , , ,0.55,31.98
20, , , ,1.26,35.03
21, , , ,1.98,37.58
22, , , ,2.94,38.08
23, , , ,3.88,43.61
24, , , ,4.21,48.18
25, , , ,3.72,51.06
断面名称,长CHBX-28, , ,测量水位,1.53
