断面名称,长CXG-1, , .1,测量水位,1.45
14, , , ,-1.5,36.75
15, , , ,-1.72,38.8
16, , , ,-2.23,42.9
17, , , ,-2.49,48.33
18, , , ,-2.11,50.96
19, , , ,-1.7,52.73
20, , , ,-1.5,59.03
21, , , ,-0.86,63.84
22, , , ,-0.45,69.1
23, , , ,-0.16,74.03
24, , , ,1.02,75.95
25, , , ,1.2,76.15
26, , , ,2.47,76.87
27, , , ,2.56,77.32
28, , , ,2.46,78.67
29, , , ,3.87,84.51
30, , , ,4.43,95.03
31, , , ,4.47,97.25
32, , , ,4.34,100.21
33, , , ,4.25,102.66
