断面名称,长BHG-1, , .1,测量水位,1.14
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,2.47,0
2, , , ,2.74,6.5
3, , , ,3.12,7.14
4, , , ,2.7,7.86
5, , , ,2.56,14.11
6, , , ,2.38,20.46
7, , , ,1.69,21.26
8, , , ,-0.49,23.36
9, , , ,-0.49,23.36
10, , , ,-0.56,27.3
11, , , ,-0.96,32.1
12, , , ,-1.15,37.25
13, , , ,-1.15,37.25
14, , , ,-0.85,43.39
15, , , ,-0.45,50.68
16, , , ,-0.37,53.27
17, , , ,-0.37,53.27
18, , , ,3.68,57.48
19, , , ,3.73,60.17
20, , , ,2.97,60.97
21, , , ,2.56,65.16
22, , , ,2.06,67.32
23, , , ,2.08,74.5
断面名称,长BHG2-11, , ,测量水位,1.72
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.75,0
2, , , ,3.75,0
3, , , ,3.42,5.15
4, , , ,3.42,5.15
5, , , ,3.09,8.9
6, , , ,3.09,8.9
7, , , ,2.91,11.6
8, , , ,2.91,11.6
9, , , ,1.77,12.06
10, , , ,1.77,12.06
11, , , ,1.75,15.35
12, , , ,-0.61,15.74
13, , , ,-0.61,15.74
14, , , ,-0.69,20.51
15, , , ,-0.78,24.88
16, , , ,-0.81,27.4
17, , , ,-0.81,27.4
18, , , ,-0.75,30.46
19, , , ,-0.63,35.4
20, , , ,-0.5,37.66
21, , , ,-0.5,37.66
22, , , ,2.12,42.12
23, , , ,2.1,46.46
24, , , ,3.54,47.71
25, , , ,3.65,49.95
26, , , ,3.16,55.15
27, , , ,2.74,61.08
28, , , ,2.86,66.12
断面名称,长BHG2-12, , ,测量水位,1.71
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.81,0
2, , , ,2.08,2.06
3, , , ,1.62,2.23
4, , , ,1.83,3.76
5, , , ,3.41,6.56
6, , , ,3.37,9.03
7, , , ,2.27,10.88
8, , , ,1.7,11.87
9, , , ,0.13,17.45
10, , , ,-0.05,23.18
11, , , ,-0.17,29.41
12, , , ,-0.23,34.69
13, , , ,-0.21,40.47
14, , , ,-0.15,45.84
15, , , ,-0.05,51.54
16, , , ,2.17,54.55
17, , , ,2.98,55.91
18, , , ,2.94,59.96
19, , , ,3.18,64.74
20, , , ,3.1,69.73
断面名称,长BHG2-13, , ,测量水位,1.69
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,0,0
2, , , ,3.65,0
3, , , ,3.1,6.04
4, , , ,3.17,11.43
5, , , ,3.38,15.56
6, , , ,3.63,19.43
7, , , ,3.93,22.13
8, , , ,3.93,25.09
9, , , ,2.87,27.07
10, , , ,1.28,28.13
11, , , ,0.38,32.15
12, , , ,0.17,34.8
13, , , ,-0.02,37.27
14, , , ,0.16,40.91
15, , , ,-0.02,43.97
16, , , ,-0.03,46.52
17, , , ,0.05,50.36
18, , , ,0.65,54.59
19, , , ,0.65,57.05
20, , , ,0.64,58.95
21, , , ,0.77,61.99
22, , , ,2.01,68.03
23, , , ,2.75,69.67
24, , , ,3.66,70.64
25, , , ,3.64,74.25
26, , , ,3.17,75.14
断面名称,长BHG2-14, , ,测量水位,1.68
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.97,0
2, , , ,1.84,5.14
3, , , ,3.48,9.34
4, , , ,3.74,11.35
5, , , ,2.76,13.15
6, , , ,2.03,13.86
7, , , ,0.25,14.55
8, , , ,0.13,17.55
9, , , ,0.03,20.27
10, , , ,0.01,22.69
11, , , ,0.47,25.41
12, , , ,0.63,27.78
13, , , ,1.67,30.88
14, , , ,2.46,31.29
15, , , ,3.36,32.96
16, , , ,3.6,36.6
17, , , ,2.21,38.74
断面名称,长BHG2-15, , ,测量水位,1.67
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.47,0
2, , , ,3.67,2.59
3, , , ,3.23,4.35
4, , , ,1.78,6.44
5, , , ,0.37,7.31
6, , , ,0.33,10.27
7, , , ,0.26,11.83
8, , , ,0.05,14.07
9, , , ,0.04,16.78
10, , , ,0.06,21.15
11, , , ,0.08,24.82
12, , , ,0.1,28.34
13, , , ,0.25,31.27
14, , , ,0.45,34.11
15, , , ,0.44,36.84
16, , , ,0.22,39.29
17, , , ,0.12,41.5
18, , , ,0.18,44.07
19, , , ,0.16,45.42
20, , , ,0.3,49.66
21, , , ,0.46,52.47
22, , , ,0.97,54.28
23, , , ,2.5,56.2
24, , , ,3.6,58.51
25, , , ,4.09,59.6
26, , , ,4.11,61.45
27, , , ,4.04,65.11
断面名称,长BHG2-16, , ,测量水位,1.66
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.2,0
2, , , ,3.52,3.43
3, , , ,3.59,4.21
4, , , ,2.59,6.06
5, , , ,1.66,8.13
6, , , ,1.15,9.07
7, , , ,0.3,11.51
8, , , ,0.28,13.6
9, , , ,0.28,15.67
10, , , ,0.22,18
11, , , ,0.14,20.49
12, , , ,0.01,23.02
13, , , ,-0.03,25.54
14, , , ,-0.09,28.14
15, , , ,-0.1,30.8
16, , , ,-0.13,33.67
17, , , ,-0.11,36.53
18, , , ,-0.14,39.35
19, , , ,0.04,42.22
20, , , ,0.01,45.05
21, , , ,0.07,47.89
22, , , ,0.07,50.75
23, , , ,0.1,53.67
24, , , ,0.14,56.55
25, , , ,0.15,59.49
26, , , ,0.17,62.44
27, , , ,0.12,65.37
28, , , ,0.15,68.24
29, , , ,0.09,71.08
30, , , ,0.1,74.1
31, , , ,0.01,77.16
32, , , ,0.03,80.22
33, , , ,0.06,83.31
34, , , ,0.03,86.48
35, , , ,0.03,89.65
36, , , ,-0.02,92.85
37, , , ,-0.06,96
38, , , ,0.03,99.16
39, , , ,0.01,102.33
40, , , ,-0.23,105.51
41, , , ,-0.17,108.7
42, , , ,-0.17,111.91
43, , , ,-0.21,115.1
44, , , ,-0.24,118.27
45, , , ,-0.1,121.43
46, , , ,-0.09,124.63
47, , , ,-0.19,127.88
48, , , ,-0.06,131.19
49, , , ,-0.11,134.5
50, , , ,-0.14,137.73
51, , , ,-0.08,140.96
52, , , ,-0.09,144.19
53, , , ,-0.11,154.06
54, , , ,-0.13,163.92
55, , , ,-0.14,173.79
56, , , ,-0.15,176.92
57, , , ,-0.21,180
58, , , ,-0.12,183.05
59, , , ,-0.08,185.85
60, , , ,-0.15,188.47
61, , , ,-0.12,190.57
62, , , ,-0.15,196.03
63, , , ,-0.09,201.54
64, , , ,-0.09,211.99
65, , , ,-0.06,221.01
66, , , ,0.03,228.02
67, , , ,-0.12,234.64
68, , , ,-0.12,244.58
69, , , ,-0.09,254.16
70, , , ,-0.12,266.75
71, , , ,-0.13,288.45
72, , , ,-0.09,296.9
73, , , ,-0.08,306.32
74, , , ,-0.12,313.8
75, , , ,-0.09,323.02
76, , , ,-0.11,333.32
77, , , ,-0.15,344.74
78, , , ,-0.2,352
79, , , ,-0.05,358.94
80, , , ,0.12,365.42
81, , , ,-0.14,368.83
82, , , ,0.21,373.62
83, , , ,2.38,377.01
84, , , ,2.68,377.28
85, , , ,3.62,379.29
86, , , ,4.03,381.93
87, , , ,4.09,383.41
88, , , ,3.79,383.77
89, , , ,3.28,384.57
90, , , ,2.69,384.83
断面名称,长BHG2-17, , ,测量水位,1.64
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.32,0
2, , , ,3.76,0.82
3, , , ,3.73,2.32
4, , , ,2.86,3.72
5, , , ,1.49,4.78
6, , , ,0.82,7.07
7, , , ,0.41,10.53
8, , , ,0.33,13.8
9, , , ,0.27,16.91
10, , , ,0.09,20.15
11, , , ,-0.01,20.48
12, , , ,-0.06,22.91
13, , , ,-0.2,25.74
14, , , ,-0.33,28.9
15, , , ,-0.38,32.2
16, , , ,-0.38,35.54
17, , , ,-0.22,38.76
18, , , ,-0.06,41.27
19, , , ,-0.03,42.87
20, , , ,-0.12,43.8
21, , , ,0.06,43.89
22, , , ,-0.03,44.17
23, , , ,-0.13,49.33
24, , , ,0.02,57.98
25, , , ,0.06,61.08
26, , , ,1.56,63.31
27, , , ,3.48,66.53
28, , , ,3.91,67.68
29, , , ,3.73,70.73
30, , , ,2.96,72.87
31, , , ,2.49,75.65
断面名称,长BHG2-18, , ,测量水位,1.66
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.02,0
2, , , ,3,2.66
3, , , ,3.01,6.65
4, , , ,1.21,8.01
5, , , ,-0.01,11.47
6, , , ,-0.02,14.87
7, , , ,-0.09,18.52
8, , , ,-0.21,20.36
9, , , ,-0.22,22.45
10, , , ,-0.35,25.26
11, , , ,-0.38,28.22
12, , , ,-0.25,31.2
13, , , ,-0.37,34.3
14, , , ,-0.32,37.35
15, , , ,-0.09,40.41
16, , , ,-0.05,43.47
17, , , ,-0.01,46.53
18, , , ,0.12,49.25
19, , , ,0.19,51.29
20, , , ,0.25,53.4
21, , , ,0.27,54.99
22, , , ,0.37,56.75
23, , , ,0.96,58.77
24, , , ,1.46,61.98
25, , , ,2.73,63.75
26, , , ,3.6,65.72
27, , , ,3.97,68.92
28, , , ,4.12,71.38
29, , , ,3.55,75.47
30, , , ,3.14,79.14
断面名称,长BHG2-19, , ,测量水位,1.65
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.69,0
2, , , ,3.27,1.96
3, , , ,3.25,5.06
4, , , ,2.79,16.36
5, , , ,3.35,21.48
6, , , ,3.52,23.55
7, , , ,3.17,25
8, , , ,1.83,25.91
9, , , ,0,26.79
10, , , ,-0.9,28.12
11, , , ,-1,29.87
12, , , ,-1.06,32.23
13, , , ,-1.22,36.73
14, , , ,-1.27,38.67
15, , , ,-1.28,40.84
16, , , ,-1.28,43.2
17, , , ,-1.34,45.27
18, , , ,-1.3,47.85
19, , , ,-1.37,53.05
20, , , ,-1.52,55.57
21, , , ,-1.48,58.16
22, , , ,-1.34,67.5
23, , , ,-1.2,77.26
24, , , ,-1.05,87.03
25, , , ,-0.93,89.38
26, , , ,-0.76,91.46
27, , , ,-0.55,93.2
28, , , ,-0.34,94.66
29, , , ,-0.2,95.66
30, , , ,-0.06,96.2
31, , , ,-0.15,99.75
32, , , ,0,102.84
33, , , ,-0.01,105.71
34, , , ,0,109.8
35, , , ,0.09,112.48
36, , , ,0.4,117.25
37, , , ,0.94,119.44
38, , , ,1.99,120.79
39, , , ,1.53,120.88
40, , , ,3.13,121.42
41, , , ,3.66,121.92
42, , , ,3.11,122.95
43, , , ,1.93,123.55
断面名称,长BHG2-20, , ,测量水位,1.62
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.38,0
2, , , ,3.86,9.49
3, , , ,3.69,16.84
4, , , ,3.13,23.95
5, , , ,2.99,25.54
6, , , ,1.54,26.96
7, , , ,1.19,27.12
8, , , ,0.2,28.13
9, , , ,-0.22,30.14
10, , , ,-0.32,32.1
11, , , ,-0.36,34.53
12, , , ,-0.23,36.53
13, , , ,-0.27,38.39
14, , , ,-0.11,40.81
15, , , ,0.06,42.46
16, , , ,0.42,45.38
17, , , ,0.3,47.83
18, , , ,1.53,48.68
19, , , ,2.96,51.52
20, , , ,2.77,51.87
21, , , ,3.17,53.08
22, , , ,3.44,55.85
断面名称,长BHG2-21, , ,测量水位,1.61
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.03,0
2, , , ,3.95,2.65
3, , , ,4.78,3.74
4, , , ,4.22,4.93
5, , , ,2.79,7.52
6, , , ,2.33,8.07
7, , , ,0.33,11.86
8, , , ,0.33,11.86
9, , , ,-0.06,14.23
10, , , ,-0.06,14.23
11, , , ,0.13,17.26
12, , , ,0.13,17.26
13, , , ,1.14,20.7
14, , , ,1.99,21.71
15, , , ,2.19,22.6
16, , , ,2.95,25.11
17, , , ,3.04,28.04
18, , , ,3.61,30.45
19, , , ,3.85,33.99
20, , , ,3.82,39.04
断面名称,长BHG2-22, , ,测量水位,1.56
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.65,0
2, , , ,4.48,2.78
3, , , ,3.53,4.36
4, , , ,2.44,8.18
5, , , ,1.7,9.47
6, , , ,-0.2,9.54
7, , , ,-0.2,9.54
8, , , ,-0.58,13.44
9, , , ,-0.58,13.44
10, , , ,-0.56,20.32
11, , , ,1.23,24.01
12, , , ,3.14,26.24
13, , , ,3.01,33.22
14, , , ,3.24,37.02
15, , , ,3.19,40.53
断面名称,长BHG2-23, , ,测量水位,1.58
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,1.62,0
2, , , ,3.49,21.42
3, , , ,2.91,28.3
4, , , ,2.34,32.69
5, , , ,1.42,33.41
6, , , ,0.21,34.92
7, , , ,0.09,37.94
8, , , ,0.07,38.59
9, , , ,0.03,41.02
10, , , ,-0.09,44.38
11, , , ,-0.04,45.81
12, , , ,-0.06,47.45
13, , , ,-0.07,50.27
14, , , ,-0.15,53.1
15, , , ,-0.12,56
16, , , ,0,58.96
17, , , ,2.07,64.35
18, , , ,3.19,67.68
19, , , ,3.14,69.95
20, , , ,3.28,74.24
21, , , ,1.59,76.66
22, , , ,1.55,86.11
断面名称,长BHG2-24, , ,测量水位,1.61
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,0.93,0
2, , , ,1.03,2.95
3, , , ,1.01,5.94
4, , , ,2,9.01
5, , , ,2.31,10.62
6, , , ,0.73,11.75
7, , , ,0.73,11.75
8, , , ,0.62,15.81
9, , , ,0.45,19.52
10, , , ,0.29,22.64
11, , , ,0.29,22.64
12, , , ,0.42,26.23
13, , , ,0.52,32.14
14, , , ,0.61,36.64
15, , , ,0.61,36.64
16, , , ,0.65,44.86
17, , , ,1.31,45.97
18, , , ,1.75,47.8
19, , , ,2.4,52.23
20, , , ,2.68,57.86
21, , , ,3.49,64.65
22, , , ,3.09,68.61
23, , , ,2.99,71.96
断面名称,长BHG2-25, , ,测量水位,1.62
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,3.32,0
2, , , ,3.2,3.39
3, , , ,3.36,3.73
4, , , ,3.7,10.49
5, , , ,3.99,16.7
6, , , ,3.95,22.36
7, , , ,4.12,27.55
8, , , ,4.12,31.59
9, , , ,3.98,36.7
10, , , ,3.76,40.1
11, , , ,3.65,42.27
12, , , ,2.01,46.03
13, , , ,1.48,46.76
14, , , ,0.36,47.69
15, , , ,0.36,47.69
16, , , ,0.25,51.53
17, , , ,0.25,51.53
18, , , ,0.48,56.26
19, , , ,0.48,56.26
20, , , ,2.27,57.27
21, , , ,2.7,58.24
22, , , ,3.88,70.45
23, , , ,3.8,74.72
断面名称,长BHG2-26, , ,测量水位,1.64
点号,测量时间,坐标X,坐标Y,高程,起点距
1, , , ,4.13,0
2, , , ,3.98,3.03
3, , , ,4.18,3.78
4, , , ,4.27,7.52
5, , , ,3.9,10.98
